5,start -1 -10 -3 -2 9 end , 5
1,start -1 -10 -5 12 13 end , 5
4,start -1 -10 -9 -12 -11 8 13 end , 7
3,start -1 -10 -9 -2 11 12 13 end , 7
2,start -1 -10 -9 -8 -3 end , 5
4,start -1 -10 11 12 13 end , 5
1,start -1 -10 3 end , 3
4,start -1 -12 -11 -10 -5 -4 -3 -2 13 end , 9
2,start -1 -12 -11 -10 -9 -8 -7 -6 13 end , 9
8,start -1 -12 -11 -10 -9 -8 -7 end , 7
1,start -1 -12 -11 -10 -9 -8 13 end , 7
9,start -1 -12 -11 -10 13 end , 5
3,start -1 -12 -11 -10 9 -2 13 end , 7
11,start -1 -12 -11 -2 13 end , 5
1,start -1 -12 -11 -4 -3 -2 13 end , 7
2,start -1 -12 -11 -6 -5 end , 5
4,start -1 -12 -11 -6 13 end , 5
2,start -1 -12 -11 6 7 end , 5
1,start -1 -12 -11 end , 3
12,start -1 -12 -3 -2 13 end , 5
3,start -1 -12 -5 -4 -3 -2 13 end , 7
1,start -1 -12 -7 -2 13 end , 5
1,start -1 -12 -7 -6 -5 end , 5
1,start -1 -12 -7 -6 13 end , 5
1,start -1 -12 3 4 13 end , 5
4,start -1 -2 -5 -4 -3 end , 5
6,start -1 -2 11 12 13 end , 5
1,start -1 -2 13 end , 3
5,start -1 -2 3 10 11 12 13 end , 7
1,start -1 -4 -3 -12 -11 -2 13 end , 7
1,start -1 -4 -3 -2 -5 end , 5
4,start -1 -4 -3 -2 13 end , 5
1,start -1 -4 -3 -2 5 10 11 12 13 end , 9
6,start -1 -4 -3 -2 5 end , 5
2,start -1 -4 -3 -6 -5 end , 5
2,start -1 -4 -3 12 13 end , 5
1,start -1 -4 -3 end , 3
6,start -1 -6 -5 -2 7 8 9 end , 7
5,start -1 -6 -5 -4 -3 -2 13 end , 7
1,start -1 -6 -5 -4 -3 -2 7 12 13 end , 9
3,start -1 -6 -5 -4 -3 8 9 end , 7
2,start -1 -6 -5 -4 7 10 11 12 13 end , 9
4,start -1 -6 -5 12 13 end , 5
1,start -1 -6 -7 12 13 end , 5
1,start -1 -6 3 2 -9 12 13 end , 7
2,start -1 -8 -11 -10 -13 end , 5
2,start -1 -8 -3 -2 9 10 11 12 13 end , 9
3,start -1 -8 -5 10 11 12 13 end , 7
1,start -1 -8 -5 end , 3
4,start -1 -8 -7 -6 -5 12 13 end , 7
1,start -1 -8 -7 -6 9 end , 5
1,start -1 -8 -7 12 13 end , 5
1,start -1 -8 -7 end , 3
4,start -1 -8 -9 -8 11 12 13 end , 7
1,start -1 -8 11 12 13 end , 5
1,start -1 -8 5 12 13 end , 5
2,start -1 -8 5 end , 3
